,23,24,25,26,27,28,29
JAMAICA 179 ST,2738.0,2229.0,6591.0,6602.0,6702.0,6703.0,6434.0
BRIGHTON BEACH,2699.0,2667.0,5310.0,5317.0,5548.0,5451.0,4635.0
CARROLL ST,2697.0,1910.0,4632.0,4674.0,4717.0,4788.0,4597.0
149/GRAND CONC,2657.0,2302.0,5918.0,6129.0,5907.0,6382.0,4977.0
UNION ST,2596.0,,3840.0,4115.0,3962.0,4252.0,4087.0
111 ST,2481.0,2101.0,4559.0,4917.0,4696.0,4822.0,4800.0
MONTROSE AV,2441.0,1836.0,2797.0,2135.0,2847.0,2868.0,2894.0
MORGAN AV,2407.0,1886.0,2929.0,2591.0,3006.0,3026.0,2955.0
90 ST-ELMHURST,2368.0,1968.0,5659.0,5755.0,5689.0,5630.0,5632.0
6 AV,2353.0,1665.0,2783.0,3372.0,3029.0,2931.0,2916.0
BOWERY,2321.0,1772.0,2176.0,2427.0,2426.0,2412.0,2571.0
BURNSIDE AV,2276.0,1885.0,3996.0,4149.0,4026.0,3976.0,3529.0
45 ST,2233.0,1788.0,4085.0,3392.0,3338.0,3245.0,3168.0
170 ST,2227.0,1683.0,3642.0,3718.0,3710.0,3918.0,3750.0
169 ST,2205.0,1713.0,4631.0,4612.0,4756.0,4784.0,4572.0
74 ST-BROADWAY,2180.0,1873.0,2546.0,2642.0,2546.0,2533.0,2651.0
40 ST LOWERY ST,2163.0,1908.0,5621.0,5707.0,5365.0,5658.0,5279.0
CASTLE HILL AV,2099.0,1670.0,3731.0,3841.0,3790.0,3881.0,3697.0
HALSEY ST,2067.0,1732.0,3354.0,3017.0,3552.0,3453.0,3206.0
CLARK ST,1989.0,1622.0,2580.0,2411.0,2552.0,2584.0,2586.0
SUTTER AV-RUTLD,1980.0,1542.0,4044.0,4085.0,4351.0,4333.0,4048.0
EASTN PKWY-MUSM,1911.0,1529.0,2060.0,2201.0,2561.0,2657.0,
BAY RIDGE AV,1862.0,1606.0,3355.0,3254.0,3300.0,3255.0,3078.0
OZONE PK LEFFRT,1856.0,1351.0,3779.0,4008.0,3677.0,3850.0,3916.0
JEFFERSON ST,1840.0,1584.0,2215.0,2279.0,2396.0,2398.0,2480.0
MORISN AV/SNDVW,1784.0,1442.0,2705.0,2906.0,2871.0,2967.0,2790.0
