,23,24,25,26,27,28,29
77 ST,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0
WOODLAWN,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0
NECK RD,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0
HARLEM 148 ST,1011.0,1011.0,1011.0,1011.0,1011.0,1011.0,1011.0
PRESIDENT ST,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0
MARBLE HILL-225,962.0,962.0,962.0,962.0,962.0,962.0,962.0
PENNSYLVANIA AV,950.0,950.0,950.0,950.0,950.0,950.0,950.0
190 ST,942.0,942.0,942.0,942.0,942.0,942.0,942.0
WILSON AV,933.0,933.0,933.0,933.0,933.0,933.0,933.0
KINGSTON AV,930.0,930.0,930.0,930.0,930.0,930.0,930.0
BRIARWOOD,923.0,923.0,923.0,923.0,923.0,923.0,923.0
AVENUE M,922.0,922.0,922.0,922.0,922.0,922.0,922.0
25 ST,921.0,921.0,921.0,921.0,921.0,921.0,921.0
GUN HILL RD,913.0,913.0,913.0,913.0,913.0,913.0,913.0
4 AV-9 ST,831.0,831.0,831.0,831.0,831.0,831.0,831.0
OCEAN PKWY,792.0,792.0,792.0,792.0,792.0,792.0,792.0
BERGEN ST,771.0,771.0,771.0,771.0,771.0,771.0,771.0
BEVERLY RD,768.0,768.0,768.0,768.0,768.0,768.0,768.0
BEVERLEY ROAD,742.0,742.0,742.0,742.0,742.0,742.0,742.0
FULTON ST,739.0,739.0,739.0,739.0,739.0,739.0,739.0
AVENUE H,733.0,733.0,733.0,733.0,733.0,733.0,733.0
ST. GEORGE,726.0,726.0,726.0,726.0,726.0,726.0,726.0
138/GRAND CONC,720.0,720.0,720.0,720.0,720.0,720.0,720.0
18 ST,654.0,654.0,654.0,654.0,654.0,654.0,654.0
VAN SICLEN AV,652.0,652.0,652.0,652.0,652.0,652.0,652.0
75 AV,652.0,652.0,652.0,652.0,652.0,652.0,652.0
CLINTON-WASH AV,585.0,585.0,585.0,585.0,585.0,585.0,585.0
KINGSTON-THROOP,573.0,573.0,573.0,573.0,573.0,573.0,573.0
JUNIUS ST,548.0,548.0,548.0,548.0,548.0,548.0,548.0
CITY HALL,530.0,530.0,530.0,530.0,530.0,530.0,530.0
BEACH 67 ST,474.0,474.0,474.0,474.0,474.0,474.0,474.0
WHITLOCK AV,455.0,455.0,455.0,455.0,455.0,455.0,455.0
W 8 ST-AQUARIUM,452.0,452.0,452.0,452.0,452.0,452.0,452.0
BEACH 60 ST,423.0,423.0,423.0,423.0,423.0,423.0,423.0
BUSHWICK AV,416.0,416.0,416.0,416.0,416.0,416.0,416.0
215 ST,403.0,403.0,403.0,403.0,403.0,403.0,403.0
BEACH 25 ST,341.0,341.0,341.0,341.0,341.0,341.0,341.0
PARK PLACE,298.0,298.0,298.0,298.0,298.0,298.0,298.0
HOWARD BCH JFK,295.0,295.0,295.0,295.0,295.0,295.0,295.0
104 ST,281.0,281.0,281.0,281.0,281.0,281.0,281.0
55 ST,268.0,268.0,268.0,268.0,268.0,268.0,268.0
ATLANTIC AV,239.0,239.0,239.0,239.0,239.0,239.0,239.0
BEACH 36 ST,211.0,211.0,211.0,211.0,211.0,211.0,211.0
BEACH 44 ST,185.0,185.0,185.0,185.0,185.0,185.0,185.0
AQUEDUCT RACETR,113.0,113.0,113.0,113.0,113.0,113.0,113.0
WORLD TRADE CTR,96.0,96.0,96.0,96.0,96.0,96.0,96.0
NASSAU AV,55.0,55.0,55.0,55.0,55.0,55.0,55.0
ASTORIA DITMARS,53.0,53.0,53.0,53.0,53.0,53.0,53.0
COURT SQ-23 ST,20.0,20.0,20.0,20.0,20.0,20.0,20.0
39 AV,20.0,20.0,20.0,20.0,20.0,20.0,20.0
METROPOLITAN AV,17.0,17.0,17.0,17.0,17.0,17.0,17.0
121 ST,17.0,17.0,17.0,17.0,17.0,17.0,17.0
BROADWAY,16.0,16.0,16.0,16.0,16.0,16.0,16.0
GREENPOINT AV,13.0,13.0,13.0,13.0,13.0,13.0,13.0
36 AV,12.0,12.0,12.0,12.0,12.0,12.0,12.0
WOODHAVEN BLVD,11.0,11.0,11.0,11.0,11.0,11.0,11.0
CYPRESS HILLS,5.0,5.0,5.0,5.0,5.0,5.0,5.0
30 AV,2.0,2.0,2.0,2.0,2.0,2.0,2.0
AVENUE X,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVENUE P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85 ST-FOREST PK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75 ST-ELDERTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
